pair	r	ci	t	n	p
BDI-2-Weght	-0,254	[-0,464; -0,016]	-2,132	68	0,037
BDI-2-BMI	-0,279	[-0,491; -0,036]	-2,289	64	0,025
BDI-2-DRS-2	-0,161	[-0,385; 0,081]	-1,325	68	0,190
BDI-2-LEDD	-0,195	[-0,424; 0,058]	-1,537	62	0,129
Weght-BMI	0,907	[0,851; 0,943]	16,969	64	0,000
Weght-DRS-2	0,165	[-0,076; 0,388]	1,360	68	0,179
Weght-LEDD	0,155	[-0,099; 0,390]	1,214	62	0,229
BMI-DRS-2	0,208	[-0,040; 0,432]	1,677	64	0,099
BMI-LEDD	0,123	[-0,140; 0,369]	0,926	58	0,358
DRS-2-LEDD	0,107	[-0,147; 0,347]	0,830	62	0,410
